"ID","first_name","last_name","email","phone","password","age","city","specialization","years_of_experience","services_id","business_id"
"006f98a5-e471-4f4a-b9a5-84cecaed8296",Roy,Kaero,roy@gmail.com,"0977659090",,,Kharkiv,hairdresser,3,hair cutting,Lux salon
"0085fbe1-e548-4015-819a-3315ac63a7c2",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"0f4f099e-2152-41f6-9c28-91e1c7725519","91056972-5050-473a-9a77-621a81695192"
"00a72f71-b569-42f1-b707-5ccabf01f0b8",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"1c3e648c-5d5c-4d69-9bc7-2591c780bb0e",f5900560-63eb-4f38-9857-356c009d77d2
"00b2e7fb-962b-41ef-9010-15496ef477f5",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"99f153e7-1bba-47f5-9e35-db139340feb8",ca72a8ad-7b4d-45d8-bf5f-c63f4e7e9fcc
"00ce0796-c612-43ae-a4b6-aa18d83f99d1",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"9ca54f87-0594-48f5-8ab6-714ec0f0cc47","0abe9c8a-0e60-440d-a8ad-6b333af5600d"
"00d922af-25f7-4a47-9386-7c5298072b75",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,cb30c98b-d105-4ad7-8cca-45434024cebb,"4c23de05-94d2-4238-b4d9-690d30c65edf"
"00dff5a8-91fe-4c7e-852d-2fac5abfb5bc",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,a1601704-789b-4f21-9dc7-bd934c1d6efa,bedda367-df76-4e80-9214-766e83b69057
"0103256e-ac1a-474a-894b-27444ea62020",Roy,Kaero,roy@gmail.com,"0977659090",,,Kharkiv,hairdresser,3,hair cutting,Lux salon
"0149571c-b505-4595-8a78-9fed0726cdf4",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,eb3d68ba-5339-4a86-9834-db513ac01923,"26d7bc0b-ebf7-4f27-a156-14724bdc7771"
"01648d16-79b0-4eb8-bc4a-8f90af1341b8",Roy,Kaero,roy@gmail.com,"0977659090",,,Kharkiv,hairdresser,3,hair cutting,Lux salon
"01bbe2b9-7b7f-41ef-96c5-a7d8fe08367b",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"6d9aa90d-3365-418f-a147-52a2d39bf595",c75b0337-95b7-4ec6-8e0e-119e3406206e
"01c29c03-e92a-41e0-8f88-2d5f35539662",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"24a48ff8-38d9-4721-b28e-8e99f58405dd","48c22008-3e74-4c12-a3fe-ea6b4b31a492"
"01cf5ee9-7502-4e5a-a8ba-54c62bde6a80",Alina,Kaero,alina@gmail.com,"0677659090",,,Kyiv,hairdresser,5,"427deae2-a779-441c-b6cc-35dbcfe13c0d",e26de269-e0ea-4de3-82e8-b1dafafe7daf
